File Name,Molecule,Precursor Adduct,Precursor Mz,Total Area,Best Retention Time
Standard2_matrix_pos_4.wiff2,1-Methyladenosine,[M+H],282.11968,399693,0.07
Standard2_matrix_pos_3.wiff2,1-Methyladenosine,[M+H],282.11968,631010,0.07
Standard2_matrix_pos_24.wiff2,1-Methyladenosine,[M+H],282.11968,3809,3.13
Standard2_matrix_pos_23.wiff2,1-Methyladenosine,[M+H],282.11968,6077,3.25
Standard2_matrix_pos_22.wiff2,1-Methyladenosine,[M+H],282.11968,4599,3.17
Standard2_matrix_pos_21.wiff2,1-Methyladenosine,[M+H],282.11968,3918,3.21
Standard2_matrix_pos_20.wiff2,1-Methyladenosine,[M+H],282.11968,1807,1.62
Standard2_matrix_pos_2.wiff2,1-Methyladenosine,[M+H],282.11968,841997,0.07
Standard2_matrix_pos_19.wiff2,1-Methyladenosine,[M+H],282.11968,2711,3.26
Standard2_matrix_pos_18.wiff2,1-Methyladenosine,[M+H],282.11968,2461,3.11
Standard2_matrix_pos_17.wiff2,1-Methyladenosine,[M+H],282.11968,2893,3.17
Standard2_matrix_pos_15.wiff2,1-Methyladenosine,[M+H],282.11968,5347,3.16
Standard2_matrix_pos_14.wiff2,1-Methyladenosine,[M+H],282.11968,2399,0.07
Standard2_matrix_pos_13.wiff2,1-Methyladenosine,[M+H],282.11968,4213,0.07
Standard2_matrix_pos_12.wiff2,1-Methyladenosine,[M+H],282.11968,7931,0.07
Standard2_matrix_pos_11.wiff2,1-Methyladenosine,[M+H],282.11968,12405,0.07
Standard2_matrix_pos_10.wiff2,1-Methyladenosine,[M+H],282.11968,20589,0.07
Standard2_matrix_pos_1.wiff2,1-Methyladenosine,[M+H],282.11968,1083978,0.07
QC_pos2.wiff2,1-Methyladenosine,[M+H],282.11968,3220,3.11
QC_pos.wiff2,1-Methyladenosine,[M+H],282.11968,14525,3.27
Standard2_matrix_neg_1.wiff2,2-Deoxycytidine,[M-H],226.08333,54049,0.21
Standard2_water_neg_12.wiff2,2-Deoxycytidine,[M-H],226.08333,116,0.21
Standard2_water_neg_10.wiff2,2-Deoxycytidine,[M-H],226.08333,954,0.21
Standard3_matrix_neg_2.wiff2,2-Deoxycytidine,[M-H],226.08333,50269,0.2
Standard3_water_neg_6.wiff2,2-Deoxycytidine,[M-H],226.08333,2224,0.2
Standard3_water_neg_1.wiff2,2-Deoxycytidine,[M-H],226.08333,115823,0.21
Standard3_matrix_neg_8.wiff2,2-Deoxycytidine,[M-H],226.08333,225,3.04
Standard3_matrix_neg_11.wiff2,2-Deoxycytidine,[M-H],226.08333,347,3.04
Standard2_water_neg_9.wiff2,2-Deoxycytidine,[M-H],226.08333,1852,0.2
Standard2_water_neg_8.wiff2,2-Deoxycytidine,[M-H],226.08333,2281,0.2
Standard2_water_neg_24.wiff2,2-Deoxycytidine,[M-H],226.08333,216,3.06
Standard2_water_neg_23.wiff2,2-Deoxycytidine,[M-H],226.08333,283,3.05
Standard2_water_neg_21.wiff2,2-Deoxycytidine,[M-H],226.08333,168,3.06
Standard2_water_neg_19.wiff2,2-Deoxycytidine,[M-H],226.08333,192,3.06
Standard2_water_neg_18.wiff2,2-Deoxycytidine,[M-H],226.08333,206,3.05
Standard2_water_neg_17.wiff2,2-Deoxycytidine,[M-H],226.08333,198,3.06
Standard2_water_neg_16.wiff2,2-Deoxycytidine,[M-H],226.08333,219,3.05
Standard2_water_neg_14.wiff2,2-Deoxycytidine,[M-H],226.08333,216,3.06
Standard2_water_neg_13.wiff2,2-Deoxycytidine,[M-H],226.08333,252,3.06
